login,password,departCity,arriveCity,firstname,lastname,address1,address2,seatPref,seatType
007,password,Denver,Zurich,James,Bond,45 Wellington St London United Kingdom,WC2E7BN,None,Coach
GatesB,passbill,Frankfurt,Sydney,Bill,Gates,87 Macintosh St Texas United State,LR6011E,Aisle,First
IlonM,passilon,London,Seattle,Ilon,Mask,21 Tesla St Californiya United State,WO71RU0,Window,Business
Jack,passjack,Los Angeles,San Francisco,Jacky,Chan,32 KungFu St Tibet China,S3J1R2Y,None,Coach
jojo,bean,Paris,Portland,Jojo,Bean,34 Steel St Mayamy Unated States,WQ61TU0,Aisle,First
Morpheus,passmorph,Portland,Paris,Morpheus,Matrixov,2 Undeground St Zion Earth,DHW6EB4,Window,Business
Neo,passneo,San Francisco,Los Angeles,Thomas,Anderson,1 Undeground St Zion Earth,WH6EFU9,None,Coach
Shepard,passshep,Seattle,London,John,Shepard,7 Spaceship St SunSys Milk Path,SMIF122,Aisle,First
StarkA,passstark,Sydney,Frankfurt,Arya,Stark,54 Dragon St Vesteross Seven Kings,G37B2U8,Window,Business
Trin,passtrin,Zurich,Denver,Trinity,Matrixovna,22 Capsula St Alabama United State,SPXIO7V,None,Coach
